,DKS_init,det
288,(0.5007175898883589-0.09079223667571479j),-2555006428.571428
289,(0.4235251645285044+0.14044543086798897j),-2555006428.571428
290,(0.46474730210867304+0.08462711223361269j),-2555006428.571428
291,(0.6627593454435642-0.08426076246646151j),-2555006428.571428
292,(0.6666934669248056-0.08800132348338581j),-2555006428.571428
293,(0.4097548054078283-0.04847956041905718j),-2555006428.571428
294,(0.3320917397961412-0.05140586812684616j),-2555006428.571428
295,(0.5560766131327814+0.03883868986826615j),-2555006428.571428
296,(0.6697232404915521+0.11851820831917366j),-2555006428.571428
297,(0.5486867282569554-0.03766643022344658j),-2555006428.571428
298,(0.4785324959038697-0.2173987918223136j),-2555006428.571428
299,(0.49069360183090044-0.08032885230827054j),-2555006428.571428
300,(0.4482373658373452+0.15326460178703635j),-2555006428.571428
301,(0.485669749556463+0.08991563853458079j),-2555006428.571428
302,(0.6565833388199976-0.10579577095923968j),-2555006428.571428
303,(0.6502742256370573-0.11068981774004652j),-2555006428.571428
304,(0.400834164212525-0.03207085015299592j),-2555006428.571428
305,(0.332888725655237-0.019494220743288652j),-2555006428.571428
306,(0.5698363688601973+0.036772000636040955j),-2555006428.571428
307,(0.6886996715401584+0.09233767836962536j),-2555006428.571428
308,(0.5441122430582244-0.048286199003067395j),-2555006428.571428
309,(0.4482279006560616-0.20871579911885363j),-2555006428.571428
310,(0.4800751534685921-0.06826472244644331j),-2555006428.571428
311,(0.4752520223508085+0.16405026766354894j),-2555006428.571428
312,(0.5075339968740974+0.08993115505745695j),-2555006428.571428
313,(0.6449393124582429-0.12749985098511615j),-2555006428.571428
314,(0.6298886844298873-0.12838894676773252j),-2555006428.571428
315,(0.39586963358184635-0.013911274971306075j),-2555006428.571428
316,(0.33784412710817285+0.010366095355958014j),-2555006428.571428
317,(0.582977504948477+0.03316660349795474j),-2555006428.571428
318,(0.7044075649949394+0.0631384949842858j),-2555006428.571428
319,(0.5359157994800747-0.058555681610807944j),-2555006428.571428
320,(0.4193513745689738-0.19398588821441326j),-2555006428.571428
321,(0.47338506569886396-0.05504469016110983j),-2555006428.571428
322,(0.5030739218121393+0.16996243122410457j),-2555006428.571428
323,(0.5284684780420948+0.08701152729246353j),-2555006428.571428
324,(0.6306255708865413-0.14800504986105203j),-2555006428.571428
325,(0.6061214783257668-0.1429492521567425j),-2555006428.571428
326,(0.39337063034978464+0.007080649108462292j),-2555006428.571428
327,(0.3494595768943968+0.038558898601897214j),-2555006428.571428
328,(0.5947073504600706+0.0249509527798444j),-2555006428.571428
329,(0.7140033404327859+0.03374091494394163j),-2555006428.571428
330,(0.5275901515229322-0.06682487249423384j),-2555006428.571428
331,(0.39214740404293125-0.17671320827097908j),-2555006428.571428
332,(0.4684595974994008-0.03929892757906001j),-2555006428.571428
333,(0.5337591009062128+0.1720179820869264j),-2555006428.571428
334,(0.5479554110537639+0.07845780573544128j),-2555006428.571428
335,(0.6110439298538324-0.16572987161735547j),-2555006428.571428
336,(0.5817335569484823-0.15158402247632016j),-2555006428.571428
337,(0.3952676500504207+0.02741502893772072j),-2555006428.571428
338,(0.3638566016844669+0.06403489726280404j),-2555006428.571428
339,(0.6058253308211726+0.015562768051926593j),-2555006428.571428
340,(0.7195697608723699+0.0022568030858102603j),-2555006428.571428
341,(0.5162397510403263-0.07343680308185738j),-2555006428.571428
342,(0.3679967922216439-0.1543340824253117j),-2555006428.571428
343,(0.4676143358391312-0.023213428858224115j),-2555006428.571428
344,(0.5646520120606083+0.16868615756453473j),-2555006428.571428
345,(0.5647277413284573+0.06663043472211895j),-2555006428.571428
346,(0.5884644101554699-0.1800992105332546j),-2555006428.571428
347,(0.5568587265936268-0.15571076246486065j),-2555006428.571428
348,(0.40075251842223697+0.04760660748502336j),-2555006428.571428
349,(0.38171711582364126+0.08636973630061758j),-2555006428.571428
350,(0.6155020548240865+0.004390174407378755j),-2555006428.571428
351,(0.7208255325327406-0.030055257828886777j),-2555006428.571428
352,(0.5023336055552302-0.07837770704850583j),-2555006428.571428
353,(0.3471456580150096-0.12668865974234578j),-2555006428.571428
354,(0.47216416938100014-0.007536609670981221j),-2555006428.571428
355,(0.5940508650677208+0.15841212110286393j),-2555006428.571428
356,(0.5770009746464622+0.05374422665891792j),-2555006428.571428
357,(0.5657401171407249-0.18995944589576447j),-2555006428.571428
